1,2,3,4,5,6,7,8,yuyu
0.095,0.840,1.771,2.538,3.320,4.193,4.860,5.596,6.284
0.145,0.888,1.737,2.607,3.388,4.103,4.896,5.598,6.277
-0.016,0.899,1.757,2.603,3.410,4.110,4.878,5.534,6.289
0.083,0.842,1.678,2.518,3.322,4.134,4.960,5.577,6.245
0.024,0.838,1.691,2.582,3.306,4.161,4.909,5.620,6.278
0.001,0.864,1.791,2.519,3.402,4.069,4.916,5.582,6.252
0.102,0.866,1.778,2.561,3.362,4.203,4.882,5.624,6.300
-0.038,0.946,1.755,2.537,3.343,4.148,4.868,5.563,6.282
-0.014,0.879,1.678,2.637,3.393,4.163,4.906,5.575,6.345
0.033,0.924,1.698,2.596,3.410,4.133,4.858,5.602,6.285
0.032,0.906,1.747,2.568,3.322,4.135,4.923,5.630,6.266
-0.011,0.888,1.704,2.490,3.379,4.137,4.892,5.562,6.264
-0.003,0.848,1.695,2.511,3.330,4.085,4.820,5.672,6.312
0.065,0.846,1.652,2.544,3.365,4.130,4.897,5.552,6.289
0.017,0.862,1.710,2.578,3.389,4.113,4.923,5.635,6.286
0.045,0.900,1.741,2.565,3.296,4.134,4.915,5.612,6.321
0.014,0.851,1.747,2.610,3.353,4.116,4.881,5.545,6.239
0.035,0.938,1.736,2.594,3.405,4.149,4.897,5.629,6.281
0.050,0.926,1.657,2.497,3.301,4.136,4.907,5.644,6.289
0.090,0.805,1.784,2.588,3.411,4.145,4.806,5.570,6.234
0.063,0.920,1.742,2.540,3.301,4.097,4.877,5.556,6.253
0.066,0.966,1.696,2.514,3.422,4.101,4.902,5.632,6.280
0.009,0.925,1.745,2.601,3.298,4.086,4.934,5.607,6.291
0.112,0.839,1.763,2.586,3.362,4.143,4.935,5.635,6.318
0.049,0.855,1.693,2.564,3.327,4.146,4.919,5.669,6.289
0.069,0.928,1.734,2.563,3.368,4.085,4.858,5.570,6.293
0.033,1.006,1.712,2.585,3.377,4.202,4.922,5.576,6.233
-0.032,0.949,1.667,2.553,3.357,4.131,4.878,5.584,6.325
0.012,0.896,1.725,2.570,3.422,4.127,4.885,5.618,6.198
0.084,0.942,1.745,2.515,3.310,4.172,4.862,5.566,6.238
